"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"Q5H9R7-6;Q5H9R7-2;Q5H9R7;Q5H9R7-4;Q5H9R7-5;Q5H9R7-3","PPP6R3",0,0,0,11342000,8985500,39407000,0,0,0,11381000,8093300,0
"Q5HYI7;Q5HYI7-4;Q5HYI7-5;Q5HYI7-2","MTX3",43395000,37098000,34084000,20118000,26348000,7343000,38515000,26072000,29434000,11998000,15468000,12673000
"Q5HYI8","RABL3",33312000,23958000,33578000,21723000,26837000,13949000,33803000,30247000,38838000,33842000,31310000,27305000
"Q5HYK3","COQ5",122770000,122140000,152060000,42170000,62593000,10358000,154940000,116970000,107210000,46703000,51823000,46296000
"Q5J8M3-3;Q5J8M3-2;Q5J8M3","EMC4",28797000,20726000,23562000,31868000,38801000,13616000,40315000,35255000,33699000,27177000,42419000,39425000
"Q5JPE7;Q5JPE7-2;Q5JPE7-3","NOMO2",134960000,105020000,110530000,92595000,120060000,57274000,144200000,148270000,155610000,78801000,146750000,96631000
"Q5JPH6;Q5JPH6-2","EARS2",240960000,114360000,129720000,36563000,46605000,23265000,221300000,157850000,147000000,48104000,46090000,50466000
"Q5JPI3-2;Q5JPI3","C3orf38",0,0,0,0,0,0,0,0,0,0,0,0
"Q5JRA6;Q5JRA6-2;Q5JRA6-4;Q5JRA6-3","MIA3",62376000,56936000,58517000,34232000,44887000,30188000,111440000,94170000,106110000,34880000,66226000,44393000
"Q5JRX3;Q5JRX3-2;Q5JRX3-3","PITRM1",645910000,465140000,635820000,235830000,265530000,149340000,779770000,653310000,601720000,286950000,293580000,326840000
"Q5JS37-2;Q5JS37","NHLRC3",0,0,0,0,0,0,0,0,0,0,0,0
"Q5JS54-2;Q5JS54;Q5JS54-3","PSMG4",0,0,0,0,0,18772000,0,0,0,0,0,0
"Q5JSH3-2;Q5JSH3;Q5JSH3-4;Q5JSH3-3","WDR44",0,0,0,15601000,0,0,16708000,0,0,17844000,0,16911000
"Q5JSL3","DOCK11",0,13156000,0,0,0,0,30422000,25983000,22827000,0,0,0
"Q5JSZ5;Q5JSZ5-5","PRRC2B",0,0,0,0,0,0,0,0,0,0,0,0
