"KO.22","KO.23","KO.24","WT.22","WT.23","WT.24"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
24.1728748874591,23.5015456626487,22.9522841056223,22.7206717868256,25.3379011471459,24.0610988842226
23.6186292576641,23.3989784864771,22.5701985190842,23.7581678995973,NA,NA
NA,NA,NA,23.7413945654216,23.2204291079588,NA
24.5953685848559,25.4702929552343,NA,25.475528366696,26.6466382487042,26.3216859229905
25.8806832386957,25.6207558887002,24.5274302334784,26.2112812844633,25.5688020381774,25.5413530752439
NA,NA,NA,NA,NA,NA
23.9976577597819,23.9774483365527,NA,NA,23.8135267873378,NA
NA,NA,NA,NA,NA,NA
23.7776606629985,NA,NA,23.1581233386175,22.759164060492,22.3187932313393
25.7569471732171,25.3957140260154,27.6973684926093,26.5767226006945,25.4751263165625,25.1236838104006
24.3097333491958,24.1574604310145,25.8782526487112,24.9429747525712,24.4697963090602,24.2476418853497
NA,NA,24.1850284478057,NA,NA,NA
24.3193446675776,24.4120922157124,25.5611291924602,22.1415521254256,22.3696750829424,22.1531363578626
23.5537961378772,23.7311739917768,25.1982426878435,23.9224326913306,23.5016671374133,23.3871916967246
30.2593457399082,29.5259118367123,29.2579980564465,28.1781666723813,29.7697324863232,29.9335396568341
23.3259455142812,23.0681701267797,NA,NA,23.1218041389239,NA
24.5857749472685,24.8242995843073,NA,NA,25.0831027106721,24.8724870171229
21.473777083647,22.6475058568606,NA,27.5973308358325,28.0780099615463,27.5255198532726
24.2801551023673,24.6680110917256,24.47184387349,24.2555870568521,25.0834679653365,24.3187932313393
23.0885314086471,23.2097763965472,NA,23.9954166127062,24.0484323270151,23.3146507274186
24.5014241776551,24.6309536249156,23.829099441172,23.3252593335116,23.7610122506908,23.7986742988268
