Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,VL24 OCIAD1 KO MITOS,VL24 WT MITOS,VL23 OCIAD1 KO MITOS,VL23 WT MITOS,VL22 OCIAD1 KO MITOS,VL22 WT MITOS,VL24 OCIAD1 KO TOTALS,VL24 WT TOTALS,VL23 OCIAD1 KO TOTALS,VL23 WT TOTALS,VL22 OCIAD1 KO TOTALS,VL22 WT TOTALS,230712_blank_n1.raw (F25)+230712_blank_p2.raw (F26)
15.509,1345.91895,-,126953061.9,CL 64:3,CL,12,29695030.52,37988917.65,22340478.71,42558428.82,30593585.79,39830522.24,126953061.9,69244497.61,79638445.58,63442746.18,69985905.53,105235696.3,249080.5024
16.541,1361.94983,-,11063137.45,CL 65:2,CL,12,3391259.008,5074991.77,1919094.035,4902867.366,3338085.908,3893031.672,11016754.73,8899264.131,9631845.432,7999536.558,8036686.256,11063137.45,307844.3287
15.858,1359.9342,-,45264860.59,CL 65:3,CL,12,8179889.314,19750054.89,5613007.063,20833873.48,9153615.987,17139754.44,34699113.82,28341955.11,20788732.85,28727913.07,21077828.26,45264860.59,247581.6201
16.84,1375.96582,-,164470842.8,CL 66:2,CL,8,40170010.96,30774838.32,33903650.76,33860359.6,49555015.22,24607037.85,164470842.8,51158069.18,124790552.2,52604718.18,106933557.4,62548860.99,290201.134
16.166,1373.94983,-,353442718.3,CL 66:3,CL,12,82375576.46,98934524.08,60410270.05,111239486.7,101273495.5,89122549.29,353442718.3,161841877.8,259680902.2,161226904.1,217423790.1,235209683.2,265898.2378
15.502,1371.93347,-,475998297,CL 66:4,CL,12,122639030.2,184864991.5,87308499.63,180659535.9,120873147.4,169184534.3,455042844.8,306769049.8,309686590.9,284608461.4,247395828.3,475998297,423683.899
14.901,1369.9187,-,64375917.4,CL 66:5,CL,12,16011826.05,20761986.18,11932409.45,25127948.09,17393127.68,22621247.21,64375917.4,35502794.79,40652595.9,31512021.04,32495534.11,60356117.22,214151.5729
17.15,1389.98267,-,25874420.89,CL 67:2,CL,12,7150246.679,9574463.64,5554346.24,11023452.27,8602154.905,7436983.893,25874420.89,14668502.82,24111339.91,14841515.29,18340834.58,19708709.76,333873.8492
16.492,1387.96509,-,87445703.27,CL 67:3,CL,12,16735778.81,40795289.13,14437702.81,39805330,21943539.63,34161045.07,78014147.71,63680361.87,49999387.34,69042073.13,50422093.78,87445703.27,298021.139
15.836,1385.94946,-,183868220.4,CL 67:4,CL,12,29090933.37,67674295.38,21565513.17,72475252.11,31049874.32,71705352.91,123074773.1,103894518.6,81511309.38,113121270.9,72432113.05,183868220.4,262778.3848
15.252,1383.93433,-,25782881.84,CL 67:5,CL,12,5285562.139,10253876.59,3519272.264,10829995.28,5287251.979,9573780.95,17788101.74,15667121.67,10623577.27,14026452.93,10528852.22,25782881.84,211302.0534
17.422,1403.99744,-,493524709.2,CL 68:2,CL,12,105608402.8,69009643.46,100473200.9,82957727.5,149726428.1,54851558.34,493524709.2,113288762.2,419836306,126914995.7,351555814.9,139745558.8,354169.669
16.781,1401.98108,-,626956042.1,CL 68:3,CL,7,167630211.9,137454569.3,144794200,156127188.4,199006086.5,115586516.7,626956042.1,239832078.3,523777885.1,242461200.5,478377250.3,292952205.6,509690.3455
16.133,1399.96558,-,1808988652,CL 68:4,CL,13,460267349.1,616130546.5,332732002.3,635752746.5,482235604.2,624168511.8,1808988652,973577373.1,1214824404,995825640,1036808144,1499745038,1344783.145
15.564,1397.94946,-,494184622.6,CL 68:5,CL,13,139515579.1,186349082.2,97172515.92,198989468.9,149875551.8,157716679.9,494184622.6,303923797.9,360602461.6,288501268.3,295750726.8,456589791.8,406704.9612
14.996,1395.93164,-,46381712.03,CL 68:6,CL,12,13591358.82,18119171.33,8745867.678,22246675.41,16586641.26,21442597.23,46381712.03,26093892.87,32760413.78,27883004.46,29088161.51,43995112.51,245492.9122
17.73,1418.01331,-,21135642.48,CL 69:2,CL,4,4983936.62,4888719.261,5532844.624,6116220.16,7347711.388,3574858.874,21135642.48,7336284.187,20402259.95,9384649.238,16068386.39,10058919.48,324429.607
17.1,1415.99719,-,85008542.17,CL 69:3,CL,2,20272472.68,33903129.17,17729347.04,39096790.99,27135847.89,23775887.82,85008542.17,57661061.93,62840434.66,48324216.92,57749751.05,81045134.56,370300.6138
16.46,1413.98132,-,405154487,CL 69:4,CL,12,77610025.29,161543529,52398137.88,159339432.2,86590792.05,144954520.7,285428259.9,261316751.2,192652768,245595247.4,180666644.6,405154487,428330.1109
15.896,1411.96497,-,132092942.6,CL 69:5,CL,12,26571474.27,64775548.59,19119669.92,60277877.74,30373494.7,53042771.95,101224802,82386157.07,74582339.13,80380116.69,62230922.89,132092942.6,247893.3895
18.014,1432.02991,-,28288116.8,CL 70:2,CL,8,6560126.656,4385585.08,6656997.812,5366403.519,9253286.208,3755965.579,28288116.8,7431469.522,26569384.96,8096853.379,23318053.96,10445580.64,298272.3696
16.76,1427.99792,-,1616883719,CL 70:4,CL,12,446005987.3,513065962.9,346221267.3,634897407.9,527169028.4,499946284.2,1616883719,859845338.6,1205707427,900758913,1126395422,1289896589,1605467.55
16.186,1425.98035,-,1230723031,CL 70:5,CL,13,410592728.6,524487496.8,175348851.8,573638386.4,446172261.3,448462519.7,1031563370,803085732.9,1065405829,793704093.1,968932507,1230723031,1145762.063
15.651,1423.9657,-,312352100.7,CL 70:6,CL,12,35678409.48,105590280,68123341.39,125529121.4,91181240.93,101059664.5,312352100.7,179534356.2,198464822.2,189198955.5,197658070.7,235456055.9,410939.6851
16.131,1423.95264,-,269396022.8,CL 70:6,CL,4,73782724.74,93004957.01,59860489.25,107712696.8,79482028.89,96487063.26,269396022.8,144826610.7,192778269.5,165230197.5,165883358.2,227762489.9,398877.0397
15.102,1421.95142,-,24969847.64,CL 70:7,CL,9,7440568.45,9551905.379,5833707.175,12252322.38,8514218.733,9082132.615,24969847.64,15622079.04,19249665.36,14947732.25,19727553,22088811.83,244512.1708
15.403,1421.95129,-,63563384.31,CL 70:7,CL,3,18304821.27,21380871.36,13257382,29183489.81,24653449.32,20298492.69,63563384.31,32853226.83,49864029.17,37069228.43,42141109.1,43321409.16,286346.7157
14.816,1419.93103,-,19952072.72,CL 70:8,CL,10,4984501.125,5556740.522,3997753.112,11736163.19,4553241.589,5824814.455,16437392.51,8982286.361,11465955.32,9766500.706,19952072.72,12968287.44,256131.0976
17.061,1442.01343,-,176919967.9,CL 71:4,CL,12,41561780.7,66167451.73,30644786.16,75274914.77,50025979.64,67464580.33,154715032.7,118903087.2,109741220.4,119878415.1,101118782.4,176919967.9,499775.0895
16.507,1439.99658,-,167569321,CL 71:5,CL,12,42913287.63,73321205.15,28341379.53,65696673.34,45831826.87,54484397.36,152199603.9,131631844.3,105054016,118581896.7,100159030.2,167569321,334810.8074
15.991,1437.9812,-,55199261.78,CL 71:6,CL,10,10983376.34,22294610.65,9191387.134,21280958.5,13355560.33,17708405.9,47783967.41,29095092.49,30062358.38,35096175.01,32582383.88,55199261.78,279918.5539
